//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
2.465426E+01	2.120105E+01	2.028521E+03	1.500000E+03
2.491130E+01	2.120125E+01	2.028522E+03	1.500000E+03
2.517102E+01	2.120145E+01	2.028523E+03	1.500000E+03
2.543346E+01	2.120165E+01	2.028523E+03	1.500000E+03
2.569863E+01	2.120185E+01	2.028524E+03	1.500000E+03
2.596656E+01	2.120206E+01	2.028525E+03	1.500000E+03
2.623729E+01	2.120227E+01	2.028526E+03	1.500000E+03
2.651084E+01	2.120248E+01	2.028526E+03	1.500000E+03
2.678724E+01	2.120269E+01	2.028527E+03	1.500000E+03
2.706652E+01	2.120290E+01	2.028528E+03	1.500000E+03
2.734872E+01	2.120312E+01	2.028529E+03	1.500000E+03
2.763385E+01	2.120334E+01	2.028529E+03	1.500000E+03
2.792196E+01	2.120356E+01	2.028530E+03	1.500000E+03
2.821308E+01	2.120378E+01	2.028531E+03	1.500000E+03
2.850723E+01	2.120400E+01	2.028532E+03	1.500000E+03
2.880444E+01	2.120423E+01	2.028533E+03	1.500000E+03
2.910476E+01	2.120446E+01	2.028534E+03	1.500000E+03
2.940820E+01	2.120469E+01	2.028534E+03	1.500000E+03
2.971481E+01	2.120493E+01	2.028535E+03	1.500000E+03
3.002462E+01	2.120517E+01	2.028536E+03	1.500000E+03
3.033765E+01	2.120541E+01	2.028537E+03	1.500000E+03
3.065395E+01	2.120565E+01	2.028538E+03	1.500000E+03
3.097355E+01	2.120589E+01	2.028539E+03	1.500000E+03
3.129648E+01	2.120614E+01	2.028540E+03	1.500000E+03
3.162278E+01	2.120639E+01	2.028541E+03	1.500000E+03
3.195248E+01	2.120664E+01	2.028541E+03	1.500000E+03
3.228561E+01	2.120690E+01	2.028542E+03	1.500000E+03
3.262222E+01	2.120716E+01	2.028543E+03	1.500000E+03
3.296234E+01	2.120742E+01	2.028544E+03	1.500000E+03
3.330600E+01	2.120768E+01	2.028545E+03	1.500000E+03
3.365325E+01	2.120794E+01	2.028546E+03	1.500000E+03
3.400412E+01	2.120821E+01	2.028547E+03	1.500000E+03
3.435865E+01	2.120849E+01	2.028548E+03	1.500000E+03
3.471687E+01	2.120876E+01	2.028549E+03	1.500000E+03
3.507883E+01	2.120904E+01	2.028550E+03	1.500000E+03
3.544456E+01	2.120921E+01	2.028551E+03	1.500000E+03
3.581410E+01	2.120930E+01	2.028551E+03	1.500000E+03
3.618750E+01	2.120940E+01	2.028551E+03	1.500000E+03
3.656479E+01	2.120949E+01	2.028552E+03	1.500000E+03
3.694601E+01	2.120959E+01	2.028552E+03	1.500000E+03
3.733121E+01	2.120968E+01	2.028553E+03	1.500000E+03
3.772042E+01	2.120978E+01	2.028553E+03	1.500000E+03
3.811370E+01	2.120988E+01	2.028553E+03	1.500000E+03
3.851107E+01	2.120998E+01	2.028554E+03	1.500000E+03
3.891259E+01	2.121008E+01	2.028554E+03	1.500000E+03
3.931829E+01	2.121018E+01	2.028555E+03	1.500000E+03
3.972822E+01	2.121028E+01	2.028555E+03	1.500000E+03
4.014242E+01	2.121038E+01	2.028555E+03	1.500000E+03
4.056095E+01	2.121049E+01	2.028556E+03	1.500000E+03
4.098384E+01	2.121060E+01	2.028556E+03	1.500000E+03
4.141113E+01	2.121070E+01	2.028557E+03	1.500000E+03
4.184289E+01	2.121081E+01	2.028557E+03	1.500000E+03
4.227914E+01	2.121092E+01	2.028558E+03	1.500000E+03
4.271994E+01	2.121103E+01	2.028558E+03	1.500000E+03
4.316534E+01	2.121114E+01	2.028558E+03	1.500000E+03
4.361538E+01	2.121125E+01	2.028559E+03	1.500000E+03
4.407011E+01	2.121137E+01	2.028559E+03	1.500000E+03
4.452959E+01	2.121148E+01	2.028560E+03	1.500000E+03
4.499385E+01	2.121160E+01	2.028560E+03	1.500000E+03
4.546295E+01	2.121172E+01	2.028561E+03	1.500000E+03
4.593695E+01	2.121183E+01	2.028561E+03	1.500000E+03
4.641589E+01	2.121195E+01	2.028562E+03	1.500000E+03
4.689982E+01	2.121208E+01	2.028562E+03	1.500000E+03
4.738880E+01	2.121220E+01	2.028563E+03	1.500000E+03
4.788287E+01	2.121232E+01	2.028563E+03	1.500000E+03
4.838210E+01	2.121245E+01	2.028564E+03	1.500000E+03
4.888653E+01	2.121257E+01	2.028564E+03	1.500000E+03
4.939622E+01	2.121270E+01	2.028565E+03	1.500000E+03
4.991122E+01	2.121283E+01	2.028565E+03	1.500000E+03
5.043159E+01	2.121296E+01	2.028566E+03	1.500000E+03
5.095739E+01	2.121309E+01	2.028566E+03	1.500000E+03
5.148867E+01	2.121322E+01	2.028567E+03	1.500000E+03
5.202549E+01	2.121336E+01	2.028567E+03	1.500000E+03
5.256791E+01	2.121349E+01	2.028568E+03	1.500000E+03
5.311598E+01	2.121363E+01	2.028568E+03	1.500000E+03
5.366977E+01	2.121377E+01	2.028569E+03	1.500000E+03
5.422933E+01	2.121391E+01	2.028570E+03	1.500000E+03
5.479472E+01	2.121405E+01	2.028570E+03	1.500000E+03
5.536601E+01	2.121419E+01	2.028571E+03	1.500000E+03
5.594326E+01	2.121434E+01	2.028571E+03	1.500000E+03
5.652652E+01	2.121448E+01	2.028572E+03	1.500000E+03
5.711586E+01	2.121463E+01	2.028572E+03	1.500000E+03
5.771135E+01	2.121478E+01	2.028573E+03	1.500000E+03
5.831305E+01	2.121493E+01	2.028574E+03	1.500000E+03
