//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
7.557504E-06	3.735888E-02	1.786500E+03	3.200000E+03
7.796360E-06	3.822067E-02	1.787816E+03	3.200000E+03
8.042765E-06	3.910234E-02	1.789134E+03	3.200000E+03
8.296959E-06	4.000434E-02	1.790452E+03	3.200000E+03
8.559185E-06	4.092715E-02	1.791772E+03	3.200000E+03
8.829700E-06	4.187125E-02	1.793092E+03	3.200000E+03
9.108764E-06	4.283712E-02	1.794414E+03	3.200000E+03
9.396648E-06	4.382528E-02	1.795736E+03	3.200000E+03
9.693631E-06	4.483623E-02	1.797060E+03	3.200000E+03
1.000000E-05	4.587050E-02	1.798384E+03	3.200000E+03
1.031605E-05	4.685567E-02	1.799663E+03	3.200000E+03
1.064209E-05	4.786199E-02	1.800943E+03	3.200000E+03
1.097844E-05	4.888992E-02	1.802223E+03	3.200000E+03
1.132541E-05	4.993993E-02	1.803505E+03	3.200000E+03
1.168335E-05	5.101249E-02	1.804787E+03	3.200000E+03
1.205261E-05	5.210809E-02	1.806071E+03	3.200000E+03
1.243353E-05	5.322722E-02	1.807355E+03	3.200000E+03
1.282650E-05	5.437038E-02	1.808640E+03	3.200000E+03
1.323188E-05	5.553809E-02	1.809926E+03	3.200000E+03
1.365008E-05	5.673089E-02	1.811213E+03	3.200000E+03
1.408149E-05	5.794930E-02	1.812501E+03	3.200000E+03
1.452654E-05	5.919388E-02	1.813790E+03	3.200000E+03
1.498565E-05	6.046518E-02	1.815080E+03	3.200000E+03
1.545928E-05	6.176380E-02	1.816371E+03	3.200000E+03
1.594787E-05	6.308843E-02	1.817635E+03	3.200000E+03
1.645191E-05	6.443386E-02	1.818789E+03	3.200000E+03
1.697187E-05	6.580798E-02	1.819944E+03	3.200000E+03
1.750827E-05	6.721141E-02	1.821099E+03	3.200000E+03
1.806162E-05	6.864476E-02	1.822255E+03	3.200000E+03
1.863246E-05	7.010868E-02	1.823412E+03	3.200000E+03
1.922135E-05	7.160382E-02	1.824570E+03	3.200000E+03
1.982884E-05	7.313085E-02	1.825728E+03	3.200000E+03
2.045553E-05	7.469044E-02	1.826888E+03	3.200000E+03
2.110203E-05	7.628330E-02	1.828047E+03	3.200000E+03
2.176897E-05	7.791012E-02	1.829208E+03	3.200000E+03
2.245698E-05	7.957163E-02	1.830369E+03	3.200000E+03
2.316674E-05	8.126858E-02	1.831532E+03	3.200000E+03
2.389893E-05	8.300172E-02	1.832694E+03	3.200000E+03
2.465426E-05	8.477182E-02	1.833858E+03	3.200000E+03
2.543346E-05	8.647582E-02	1.835049E+03	3.200000E+03
2.623729E-05	8.805539E-02	1.836282E+03	3.200000E+03
2.706652E-05	8.966380E-02	1.837516E+03	3.200000E+03
2.792196E-05	9.130160E-02	1.838750E+03	3.200000E+03
2.880444E-05	9.296931E-02	1.839985E+03	3.200000E+03
2.971481E-05	9.466748E-02	1.841222E+03	3.200000E+03
3.065395E-05	9.639667E-02	1.842458E+03	3.200000E+03
3.162278E-05	9.815745E-02	1.843696E+03	3.200000E+03
3.262222E-05	9.995039E-02	1.844935E+03	3.200000E+03
3.365325E-05	1.017761E-01	1.846174E+03	3.200000E+03
3.471687E-05	1.036351E-01	1.847415E+03	3.200000E+03
3.581410E-05	1.055281E-01	1.848656E+03	3.200000E+03
3.694601E-05	1.074557E-01	1.849898E+03	3.200000E+03
3.811370E-05	1.094185E-01	1.851140E+03	3.200000E+03
3.931829E-05	1.114171E-01	1.852384E+03	3.200000E+03
4.056095E-05	1.134543E-01	1.853461E+03	3.200000E+03
4.184289E-05	1.155303E-01	1.854428E+03	3.200000E+03
4.316534E-05	1.176442E-01	1.855394E+03	3.200000E+03
4.452959E-05	1.197968E-01	1.856362E+03	3.200000E+03
4.593695E-05	1.219888E-01	1.857330E+03	3.200000E+03
4.738880E-05	1.242208E-01	1.858298E+03	3.200000E+03
4.888653E-05	1.264938E-01	1.859267E+03	3.200000E+03
5.043159E-05	1.288083E-01	1.860236E+03	3.200000E+03
5.202549E-05	1.311652E-01	1.861206E+03	3.200000E+03
5.366977E-05	1.335652E-01	1.862176E+03	3.200000E+03
5.536601E-05	1.360091E-01	1.863147E+03	3.200000E+03
5.711586E-05	1.384977E-01	1.864119E+03	3.200000E+03
5.892102E-05	1.410319E-01	1.865091E+03	3.200000E+03
6.078323E-05	1.436124E-01	1.866063E+03	3.200000E+03
6.270430E-05	1.462401E-01	1.867036E+03	3.200000E+03
